dep_hour,o_min_vis,o_vol,o_fog,o_change,arr_hour,d_min_vis,d_vol,d_fog,d_change,delay
13,3.93,0.93,0.92,0.79,14,3.76,0.48,0.06,0.35,0
1,1.21,0.37,0.0,0.18,2,4.67,0.81,0.98,0.66,0
23,7.45,0.23,0.82,0.79,0,0.58,0.57,0.2,0.03,1
10,0.1,0.48,0.91,0.83,11,6.55,0.88,0.57,0.31,0
7,7.98,0.52,0.41,0.56,9,2.17,0.86,0.34,0.6,0
3,8.37,0.09,0.62,0.72,7,9.26,0.98,0.2,0.31,0
23,0.4,0.33,0.15,0.77,0,6.66,0.4,0.68,0.07,0
23,4.41,0.52,0.88,0.24,2,8.72,0.15,0.53,0.41,0
1,4.51,0.59,0.22,0.72,5,2.55,0.3,0.54,0.2,0
7,9.22,0.8,0.63,0.85,11,4.09,0.14,0.05,0.33,1
8,3.97,0.45,0.34,0.08,9,9.61,0.16,0.56,0.73,0
10,1.12,0.49,0.7,0.73,13,6.68,0.6,0.89,0.1,1
16,0.99,0.99,0.02,0.33,20,2.98,0.94,0.68,0.05,1
0,7.19,0.37,0.23,0.82,4,9.33,0.7,0.08,0.18,0
4,4.41,0.31,0.79,0.57,6,8.73,0.06,0.16,0.42,0
2,1.15,0.21,0.72,0.18,5,8.79,0.97,0.65,0.69,1
19,0.37,0.28,0.96,0.49,22,7.66,0.7,0.84,0.46,0
22,6.46,0.91,0.67,0.83,1,0.53,0.98,0.29,0.68,0
23,2.07,0.9,0.12,0.28,0,1.3,0.03,0.21,0.05,0
9,0.77,0.3,0.61,0.09,10,2.25,0.65,0.88,0.62,0
11,9.1,0.69,0.34,0.05,13,3.91,0.03,0.41,0.49,0
0,5.73,0.94,0.91,0.55,4,0.78,0.39,0.44,0.26,0
15,6.96,0.13,0.89,0.22,18,1.98,0.85,0.31,0.7,0
0,3.96,0.46,0.76,0.85,1,3.38,0.01,0.16,0.35,0
12,2.59,0.9,0.18,0.11,15,5.4,0.18,0.06,0.19,0
4,7.9,0.31,0.86,0.07,6,7.39,0.03,0.04,0.9,0
11,0.11,0.76,0.54,0.91,13,5.13,0.24,0.15,0.9,0
7,6.18,0.01,0.9,0.33,9,9.75,0.91,0.33,0.88,0
17,3.27,0.57,0.19,0.17,21,7.38,0.77,0.31,0.4,0
13,7.98,0.88,0.14,0.37,15,5.23,0.08,0.46,0.46,1
0,1.19,0.8,0.84,0.23,4,7.53,0.01,0.19,0.7,0
19,0.72,0.91,0.52,0.12,21,5.75,0.49,0.0,0.37,0
3,2.15,0.37,0.55,0.08,7,5.91,0.31,0.75,0.69,0
3,5.58,0.04,0.05,0.99,7,3.43,0.24,0.53,0.81,0
17,6.11,0.15,0.91,0.48,21,1.77,0.51,0.33,0.88,0
16,1.72,0.75,0.16,0.05,18,5.53,0.62,0.54,0.63,0
21,0.64,0.09,0.28,0.99,23,6.57,0.73,0.92,0.86,1
11,7.03,0.67,0.74,0.73,13,1.32,0.63,0.98,0.28,1
4,7.18,0.5,0.85,0.13,6,8.76,0.24,0.72,0.04,0
2,3.39,0.05,0.25,0.2,6,6.84,0.82,0.34,0.79,1
14,3.59,0.9,0.1,0.54,18,1.36,0.07,0.02,0.16,0
21,4.72,0.38,0.61,0.86,22,1.63,0.75,0.53,0.12,1
23,0.72,0.39,0.16,0.57,2,8.02,0.2,0.12,0.49,0
17,9.69,0.42,0.97,0.39,20,9.54,0.88,0.04,0.23,0
18,3.65,0.06,0.58,0.78,22,7.84,0.3,0.04,0.97,0
9,7.19,0.57,0.34,0.3,11,6.06,0.17,0.19,0.85,0
3,2.99,0.15,0.22,0.41,4,1.42,0.83,0.34,0.65,1
4,6.81,0.85,0.64,0.95,5,5.36,0.49,0.99,0.95,1
13,6.41,0.72,0.91,0.71,15,6.6,0.57,0.38,0.22,0
4,9.47,0.97,0.19,0.37,7,0.62,0.53,0.22,0.26,0
22,0.82,0.71,0.37,0.67,0,5.02,0.03,0.98,0.27,0
12,5.02,0.8,0.4,0.71,15,7.22,0.99,0.72,0.94,1
6,9.67,0.44,0.56,0.99,9,2.75,0.39,0.73,0.78,0
13,9.06,0.13,0.18,0.29,15,0.27,0.7,0.01,0.33,0
9,8.16,0.19,0.4,0.14,10,7.88,0.37,0.38,0.3,0
7,4.56,0.98,0.14,0.37,8,7.19,0.99,0.27,0.38,0
21,6.52,0.58,0.25,0.9,0,9.41,0.82,0.3,0.32,0
1,5.69,0.22,0.77,0.23,5,9.61,0.68,0.02,0.53,0
16,9.2,0.14,0.12,0.37,19,5.51,0.09,0.93,0.28,0
21,7.4,0.18,0.89,0.51,0,4.63,0.27,0.68,0.89,0
6,8.7,0.93,0.68,0.69,8,4.14,0.34,0.74,0.15,0
4,4.03,0.32,0.19,0.47,8,1.16,0.91,0.65,0.05,1
4,9.33,0.06,0.93,0.37,8,6.51,0.66,0.05,0.03,0
5,0.7,0.19,0.46,0.85,7,1.99,0.43,0.6,0.23,0
6,5.31,0.63,0.09,0.99,10,9.09,0.2,0.2,0.62,1
12,9.07,0.03,0.64,0.58,14,6.33,0.48,0.25,0.13,0
21,9.1,0.15,0.15,0.69,23,8.16,0.23,0.62,0.89,0
9,8.54,0.69,0.83,0.78,12,2.26,0.35,0.13,0.42,0
1,4.0,0.91,0.55,0.46,5,5.14,0.39,0.5,0.96,0
6,0.43,0.01,0.12,0.4,10,3.57,0.85,0.82,0.55,1
17,7.08,0.96,0.49,0.79,19,6.32,0.92,0.76,0.53,1
6,4.45,0.26,0.15,0.98,9,9.64,0.98,0.98,0.14,1
0,7.56,0.29,1.0,0.35,1,9.9,0.86,0.57,0.72,1
5,7.36,0.35,0.06,0.18,7,8.89,0.99,0.34,0.37,0
20,8.65,0.24,0.86,0.11,0,0.6,0.4,0.79,0.28,0
21,2.33,0.56,0.3,0.12,0,5.64,0.15,0.89,0.07,1
21,5.11,0.29,0.4,0.57,22,7.21,0.66,0.39,0.31,0
11,2.55,0.07,0.17,0.63,14,0.72,0.09,0.98,0.27,0
21,3.33,0.27,0.57,0.67,0,5.78,0.38,0.98,0.59,0
5,4.8,0.0,0.14,0.25,6,4.37,0.16,0.01,0.62,0
23,1.54,0.07,0.2,0.24,0,7.18,0.91,0.62,0.46,1
1,2.2,0.16,0.49,0.48,5,0.85,0.6,0.77,0.13,0
0,9.59,0.7,0.96,0.53,4,4.78,0.54,0.35,0.84,0
21,2.07,0.6,0.63,0.38,0,3.12,0.03,0.51,0.73,0
7,1.49,0.16,0.59,0.35,8,0.28,0.35,0.81,0.27,1
9,0.12,0.05,0.14,0.97,13,4.67,0.31,0.54,0.76,1
14,9.24,0.88,0.09,0.82,18,3.89,0.35,0.69,0.03,0
13,3.56,0.7,0.47,0.04,15,7.4,0.98,0.57,0.62,0
3,1.42,0.7,0.22,0.21,6,6.96,0.59,0.72,0.18,0
5,4.16,0.21,0.3,0.99,9,8.54,0.61,0.92,0.62,0
10,3.52,0.28,0.66,0.25,14,9.73,0.75,0.87,0.94,0
22,7.87,0.79,0.31,0.12,1,5.72,0.6,0.24,0.61,0
8,5.8,0.29,0.57,0.27,11,4.13,0.02,0.76,0.84,0
7,5.95,0.5,0.13,0.72,8,7.25,0.22,0.58,0.82,0
18,1.04,0.16,0.97,1.0,21,7.61,0.45,0.06,0.17,0
15,3.05,0.85,0.35,0.29,18,7.11,0.41,0.34,0.8,0
1,0.15,0.3,0.57,0.85,3,3.85,0.06,0.72,0.22,0
23,1.11,0.78,0.2,0.86,2,3.37,0.39,0.36,0.71,1
10,9.64,0.56,0.43,0.81,14,9.23,0.61,0.94,0.26,0
8,4.0,0.22,0.07,0.93,11,5.53,0.05,0.2,0.89,0
21,0.38,0.25,0.31,0.29,23,2.69,0.21,0.11,0.3,0
13,7.83,0.54,0.03,0.55,17,9.02,0.95,0.31,0.71,0
12,1.57,0.8,0.09,0.66,13,4.9,0.89,0.06,0.26,0
10,1.59,0.54,0.79,0.37,11,0.52,0.16,0.56,0.94,0
14,7.31,0.75,0.76,0.2,17,1.38,0.99,0.62,0.23,0
12,2.19,0.88,0.23,0.22,13,2.57,0.47,0.07,0.69,0
14,9.33,0.01,0.86,0.14,17,4.81,0.61,0.75,0.32,1
8,2.15,0.08,0.9,0.91,11,7.36,0.56,0.26,0.49,0
22,0.51,0.54,0.46,0.95,0,8.01,0.81,0.8,0.92,1
5,6.64,0.13,0.05,0.37,7,4.42,0.88,0.41,0.83,0
23,8.33,0.48,0.64,0.5,0,8.26,0.41,0.62,0.83,0
8,3.89,0.64,0.23,0.87,9,4.44,0.79,0.47,0.15,0
5,3.2,0.04,0.96,0.78,7,3.47,0.39,0.53,0.71,0
4,4.88,0.63,0.45,0.77,6,0.81,0.19,0.13,0.09,0
16,2.4,0.35,0.69,0.42,17,9.19,0.61,0.67,0.89,1
1,2.95,0.04,0.63,0.23,5,1.55,0.1,0.97,0.62,1
10,4.97,0.17,0.14,0.49,11,3.91,0.25,0.22,0.45,0
9,1.49,0.38,0.38,0.32,11,8.12,0.59,0.65,0.85,0
23,6.94,0.82,0.2,0.29,0,3.06,0.88,0.83,0.3,0
19,0.17,0.46,0.8,0.01,22,3.77,0.68,0.77,0.68,0
10,7.89,0.45,0.26,0.7,12,1.86,0.43,0.66,0.16,1
13,2.72,0.45,0.5,0.32,15,1.75,0.91,0.57,0.02,0
17,1.46,0.6,0.03,0.37,18,7.27,0.16,0.59,0.12,0
13,0.47,0.59,0.32,0.66,15,5.84,0.23,0.24,0.67,0
5,6.66,0.95,0.04,0.38,8,3.39,0.26,0.51,0.65,0
6,2.27,0.54,0.85,0.04,7,5.76,0.85,0.22,0.86,0
5,0.99,0.83,0.78,0.37,7,3.0,0.66,0.88,0.71,1
17,5.38,0.99,0.3,0.01,21,7.65,0.11,0.33,0.56,1
9,8.38,0.67,0.04,0.39,11,5.72,0.5,0.93,0.44,1
10,7.77,0.96,0.64,0.28,13,8.71,0.75,0.78,0.12,1
9,1.16,0.14,0.93,0.81,11,1.83,0.19,0.02,0.69,0
8,7.97,0.11,0.73,0.94,10,9.17,0.57,0.86,0.87,0
14,8.26,0.41,0.61,0.98,16,2.81,0.69,0.1,0.16,0
17,0.62,0.88,0.42,0.02,18,6.9,0.17,0.0,0.01,0
17,1.97,0.4,0.87,0.0,20,6.34,0.33,0.18,0.24,0
22,9.36,0.55,0.16,0.42,23,8.11,0.17,0.78,0.77,1
17,1.68,0.46,0.44,0.24,21,2.31,0.84,0.99,0.21,0
12,2.18,0.48,0.9,0.08,14,3.4,0.11,0.63,0.54,1
12,4.01,0.1,0.43,0.3,14,7.78,0.0,0.07,0.16,0
7,1.04,0.54,0.51,0.97,9,3.53,0.19,0.74,0.73,1
22,4.09,0.9,0.49,0.09,23,0.48,0.76,0.72,0.83,1
17,8.57,0.81,0.25,0.08,18,1.32,0.61,0.96,0.12,0
11,5.82,0.53,0.25,0.69,15,3.53,0.5,0.73,0.02,0
22,3.8,0.7,0.82,0.53,2,7.65,0.61,0.35,0.83,0
9,3.47,0.22,0.27,0.44,11,6.38,0.76,0.74,0.89,1
14,6.29,0.14,0.62,0.42,17,9.89,0.3,0.76,0.57,0
0,3.1,0.68,0.25,0.35,4,6.2,0.57,0.41,0.08,0
16,1.17,0.46,0.29,0.46,19,9.44,0.34,0.4,0.58,0
12,7.78,0.53,0.27,0.32,15,7.93,0.17,0.64,0.81,0
5,8.37,0.99,0.16,0.14,6,4.61,0.4,0.29,0.6,0
5,5.37,0.25,0.52,0.77,8,0.06,0.88,0.57,0.19,0
15,6.68,0.54,0.24,0.6,18,4.76,0.83,0.74,0.11,0
7,1.54,0.96,0.79,0.92,8,0.52,0.21,0.68,0.72,1
18,6.47,0.02,0.97,0.36,21,2.96,0.56,0.77,0.19,0
9,4.52,0.05,0.76,0.91,13,9.13,0.65,0.53,0.16,0
0,6.33,0.2,0.37,0.69,1,0.52,0.27,0.3,0.95,0
1,4.87,0.67,0.95,0.56,5,9.29,0.82,0.37,0.3,0
4,3.27,0.34,0.6,0.87,5,1.41,0.93,0.77,0.18,0
0,2.4,0.93,0.65,0.29,3,7.94,0.26,0.31,0.9,0
10,5.99,0.6,0.33,0.1,13,8.25,0.23,0.23,0.01,0
9,7.3,0.22,0.17,0.83,12,9.0,0.06,0.74,0.39,1
2,2.41,0.78,0.14,0.97,6,4.97,0.43,0.27,0.64,0
17,7.14,0.32,0.32,0.18,20,6.7,0.17,0.84,0.14,1
3,4.92,0.61,0.45,0.05,6,9.17,0.53,0.64,0.36,0
14,2.73,0.23,0.37,0.21,17,7.74,0.3,0.87,0.73,1
14,3.6,0.3,0.81,0.57,15,2.03,0.29,0.9,0.2,0
17,2.26,0.12,0.22,0.08,18,7.89,0.69,0.24,0.64,1
13,5.15,0.51,0.89,0.81,14,5.59,0.35,0.17,0.54,0
17,1.88,0.68,0.31,0.12,21,6.93,0.41,0.83,0.21,0
16,1.06,0.56,0.11,0.42,17,4.81,0.29,0.87,0.5,1
12,5.95,0.4,0.93,0.99,14,2.28,0.81,0.14,0.6,0
13,9.72,0.34,0.61,0.58,16,7.91,0.69,0.11,0.53,0
18,5.34,0.23,0.93,0.71,19,1.68,0.7,0.54,0.41,0
5,3.93,0.74,0.51,0.52,8,6.21,0.94,0.84,0.62,0
5,8.25,0.89,0.33,0.71,8,3.52,0.52,0.95,0.74,0
4,4.44,0.58,0.73,0.61,5,8.98,0.85,0.84,0.82,1
20,8.99,0.46,0.93,0.75,0,5.31,0.92,0.26,0.33,0
6,4.99,0.87,0.52,0.39,10,5.26,0.08,0.73,0.64,1
13,7.76,0.58,0.61,0.99,14,8.35,0.08,0.95,0.34,0
23,8.34,0.45,0.58,0.37,1,1.52,0.86,0.92,0.59,1
2,7.46,0.54,0.02,0.72,5,9.61,0.01,0.84,0.32,1
23,1.26,0.24,0.58,0.01,0,9.59,0.53,0.85,0.98,0
10,1.26,0.72,0.04,0.06,13,5.33,0.83,0.8,0.86,1
10,8.8,0.3,0.71,0.21,11,0.74,0.34,0.7,0.79,0
12,9.15,0.08,0.69,0.51,14,6.02,0.57,0.21,0.24,0
20,5.47,0.98,0.98,0.84,23,4.33,0.37,0.96,0.45,1
12,2.43,0.49,0.19,0.35,16,8.78,0.1,0.29,0.39,0
4,4.74,0.18,0.03,0.16,6,5.97,1.0,0.65,0.41,0
5,3.81,0.25,0.07,0.7,6,4.15,0.03,0.1,1.0,0
20,3.38,0.87,0.63,0.3,22,8.29,0.04,0.37,0.12,1
0,4.93,0.21,0.26,0.49,2,2.12,0.13,0.86,0.87,0
8,1.2,0.75,0.23,0.32,12,2.15,0.02,0.41,0.8,0
22,5.72,0.17,0.54,0.86,23,9.39,0.51,0.77,0.87,1
22,8.32,0.77,0.54,0.89,0,1.4,0.49,0.45,0.89,1
17,7.9,0.76,0.84,0.82,18,7.77,0.77,0.04,0.31,0
16,5.1,0.21,0.47,0.65,17,3.62,0.51,0.73,0.21,1
0,0.99,0.72,0.61,0.62,3,1.17,0.95,0.19,0.83,1
5,3.99,0.35,0.79,0.97,7,9.24,0.07,0.85,0.86,1
1,4.53,0.13,0.27,0.28,4,0.25,0.71,0.49,0.59,0
6,2.74,1.0,0.24,0.55,8,0.8,0.62,0.71,0.31,1
4,5.46,0.47,0.59,0.74,7,4.77,0.74,0.98,0.87,0
5,0.83,0.5,0.3,0.14,8,2.93,0.27,0.89,0.65,1
3,0.4,0.31,0.53,0.1,4,3.85,0.05,0.01,0.55,0
1,7.8,0.03,0.34,0.79,3,3.94,0.8,0.72,0.07,1
17,0.15,0.46,0.6,0.03,18,1.0,0.24,0.33,0.8,0
14,6.17,0.09,0.75,0.03,16,4.54,0.16,0.11,0.54,0
16,8.85,0.66,0.5,0.19,20,0.3,0.82,0.32,0.92,0
3,1.15,0.17,0.81,0.96,7,4.77,0.01,0.26,0.24,1
7,2.97,0.79,0.9,0.18,10,1.49,0.65,0.02,0.34,0
2,9.55,0.91,0.66,0.02,4,2.75,0.74,0.45,0.84,0
0,6.76,0.42,0.63,0.32,2,2.29,0.13,0.41,0.65,0
17,9.71,0.68,0.27,0.34,18,6.94,0.58,0.35,0.38,0
21,3.23,0.93,0.58,0.84,22,1.75,0.43,0.88,0.99,0
17,2.59,0.56,0.79,0.91,21,5.16,0.42,0.21,0.38,0
16,3.15,0.26,0.51,0.23,19,8.22,0.56,0.09,0.56,0
19,0.9,0.3,0.05,0.57,21,7.27,0.53,0.82,0.89,0
23,8.34,0.79,0.98,0.28,1,2.73,0.44,0.45,0.95,0
18,3.22,0.43,0.15,0.86,22,1.72,1.0,0.2,0.73,1
0,9.03,0.0,0.21,0.22,3,0.66,0.02,0.52,0.25,0
12,2.43,0.11,0.0,0.52,16,5.74,0.78,1.0,0.12,1
0,3.88,0.75,0.63,0.82,1,1.43,0.49,0.93,0.74,0
18,7.41,0.62,0.39,0.54,22,7.34,0.3,0.99,0.95,1
17,4.83,0.26,0.24,0.05,21,9.22,0.82,0.97,0.52,1
3,7.24,0.24,0.45,0.93,4,5.26,0.09,0.09,0.6,0
10,7.6,0.96,0.31,0.97,12,1.93,0.26,0.85,0.01,1
7,4.16,0.03,0.32,0.94,10,6.09,0.25,0.58,0.7,0
4,1.0,0.55,0.27,0.64,5,0.21,0.14,0.77,0.91,1
4,5.16,0.6,0.77,0.97,6,1.54,0.89,0.14,0.53,0
8,9.05,0.47,0.79,0.36,11,9.71,0.41,0.16,0.93,0
0,0.92,0.62,0.99,0.56,3,1.44,0.7,0.11,0.12,0
5,3.49,0.02,0.67,0.89,8,1.19,0.03,0.46,0.17,0
0,0.9,0.56,0.52,0.46,1,0.34,0.72,0.75,0.18,0
23,0.73,0.09,0.03,0.9,3,9.47,0.72,0.01,0.74,1
23,3.15,0.73,0.97,0.31,2,1.82,0.14,0.44,0.99,0
0,6.24,0.33,0.01,0.5,1,7.45,0.63,0.2,0.73,0
7,5.61,0.42,0.49,0.41,10,1.73,0.94,0.76,0.75,0
5,4.56,0.0,0.39,0.42,9,8.1,0.93,0.93,0.78,1
8,9.57,0.62,0.44,1.0,9,8.53,0.44,0.86,0.27,1
2,5.8,0.64,0.36,0.04,4,9.75,0.11,0.51,0.5,0
4,2.39,0.86,0.81,0.31,6,3.11,0.42,0.74,0.38,0
2,7.92,0.43,0.25,0.74,5,3.59,0.36,0.57,0.17,0
8,6.45,0.09,0.12,0.67,11,6.14,0.77,0.55,0.08,0
21,2.37,0.23,0.68,0.79,1,5.03,0.86,0.81,0.72,0
13,9.93,0.41,0.87,0.02,14,8.48,0.82,0.99,0.18,0
9,6.58,0.28,0.8,0.19,11,8.64,0.12,0.4,0.31,0
0,4.99,0.1,0.73,0.87,2,3.88,0.99,0.2,0.06,0
14,0.85,0.81,0.03,0.01,15,3.01,0.94,0.81,0.24,0
3,7.63,0.55,0.05,0.75,7,8.85,0.76,0.88,0.16,0
22,7.23,0.26,0.58,0.28,23,9.78,0.47,0.52,0.87,1
2,9.58,0.34,0.34,0.17,4,1.24,0.47,0.17,0.53,0
23,4.74,0.78,0.6,0.06,0,2.31,0.11,0.42,0.43,0
19,9.76,0.15,0.89,0.68,23,8.8,0.59,0.99,0.25,0
6,3.42,0.23,0.45,0.42,10,8.64,0.9,0.01,0.8,0
22,7.85,0.47,0.97,0.03,1,1.74,0.26,0.87,0.19,0
12,1.66,0.82,0.39,0.04,14,9.93,0.6,0.76,0.55,1
21,0.25,0.8,0.68,0.36,1,4.4,0.69,0.25,0.85,1
23,0.94,0.05,0.12,0.41,1,3.02,0.15,0.07,0.48,1
1,8.93,0.16,0.85,0.7,4,6.96,0.62,0.87,0.58,1
16,2.24,0.01,0.91,0.74,17,6.03,0.81,0.81,0.32,1
11,3.8,0.72,0.76,0.71,12,9.89,0.7,0.4,0.79,0
19,2.37,0.55,0.09,0.33,22,8.21,0.88,0.28,0.5,0
15,8.56,0.12,0.47,0.55,19,3.24,0.76,0.86,0.14,1
15,8.08,0.13,0.59,0.77,18,5.0,0.1,0.36,0.15,0
21,1.65,0.73,0.02,0.3,1,2.96,0.76,0.84,0.37,1
14,0.41,0.06,0.1,0.46,16,0.66,0.5,0.12,0.38,0
17,4.84,0.72,0.22,0.49,19,3.1,0.23,0.02,0.19,0
9,7.07,0.67,0.38,0.16,12,1.77,0.26,0.75,0.69,0
14,5.57,0.83,1.0,0.45,16,4.31,0.14,0.45,0.89,0
2,9.43,0.21,0.55,0.92,4,4.79,0.69,0.36,0.13,0
16,6.09,0.41,0.67,0.03,20,2.67,0.92,0.52,0.39,0
22,7.81,0.78,0.26,0.35,1,0.3,0.52,0.83,0.77,1
23,9.57,0.33,0.85,0.43,0,2.61,0.01,0.19,0.66,1
23,5.03,0.88,0.5,0.34,3,2.58,0.44,0.08,0.7,0
16,1.51,0.18,0.21,0.4,19,8.38,0.46,0.21,0.06,0
4,1.08,0.76,0.84,0.83,8,6.53,0.49,0.61,0.97,0
9,6.19,0.54,0.11,0.27,11,5.55,0.58,0.23,0.37,1
18,2.11,0.86,0.18,0.03,19,1.84,0.41,0.96,0.57,0
8,6.8,0.27,0.83,0.06,10,5.49,0.87,0.45,0.88,0
2,9.24,0.45,0.78,0.89,6,6.87,0.94,0.29,0.2,0
5,9.17,0.38,0.22,0.11,8,8.09,0.16,0.28,0.44,0
0,9.58,0.03,0.4,0.93,2,2.64,0.16,0.35,0.73,0
3,7.39,0.22,0.46,0.16,5,7.59,0.18,0.86,0.16,0
7,6.54,0.3,0.77,0.82,10,0.64,0.83,0.72,0.45,1
14,5.55,0.3,0.98,0.59,16,2.68,0.75,0.59,0.02,0
17,3.05,0.0,0.75,0.99,21,7.55,0.85,0.02,0.04,0
3,5.97,0.17,0.77,0.9,5,7.78,0.94,0.88,0.24,1
18,5.87,0.17,0.16,0.96,19,2.51,0.17,0.96,0.24,1
11,3.47,0.97,0.11,0.88,14,2.3,0.34,0.33,0.72,0
12,6.97,0.21,0.19,0.78,15,1.97,0.16,0.85,0.39,1
0,3.5,0.75,0.54,0.65,1,1.27,0.83,0.79,0.75,0
1,7.81,0.75,0.39,0.91,5,6.14,0.61,0.95,0.12,0
6,4.84,0.31,0.37,0.16,7,9.07,0.38,0.6,0.87,0
14,6.24,0.8,0.59,0.18,17,4.49,0.7,0.1,0.37,0
13,4.76,0.15,0.85,0.63,16,4.02,0.38,0.9,0.14,1
3,8.1,0.23,0.0,0.59,7,6.62,0.88,0.9,0.32,0
5,0.67,0.69,0.86,0.35,6,3.21,0.27,0.72,0.14,1
7,5.2,0.44,0.92,0.46,8,1.44,0.47,0.97,0.37,1
4,5.04,0.24,0.82,0.63,5,6.77,0.7,0.54,0.11,0
0,7.73,0.48,0.04,0.49,3,3.85,0.57,0.96,0.88,1
17,3.58,0.36,0.62,0.06,21,3.44,0.72,0.67,0.96,1
10,7.37,0.53,0.83,0.54,13,9.73,0.32,0.44,0.79,0
0,4.01,0.13,0.58,0.17,3,3.09,0.22,0.78,0.87,0
18,1.73,0.16,0.18,0.35,22,7.56,0.53,0.35,0.8,0
9,1.76,0.41,0.59,0.25,13,1.84,0.01,0.85,0.17,1
2,5.72,0.18,0.01,0.01,5,7.04,0.42,0.17,0.69,0
0,9.19,0.89,0.83,0.05,3,5.83,0.43,0.19,0.48,0
22,6.16,0.05,0.76,0.57,0,2.49,0.76,0.54,0.18,0
2,9.5,0.22,0.85,0.69,3,4.23,0.02,0.53,0.46,0
8,1.15,0.69,0.42,0.84,12,4.77,0.44,0.13,0.28,0
11,0.2,0.33,0.46,0.2,12,4.27,0.44,0.43,0.15,1
6,1.19,0.64,0.79,0.26,10,7.14,0.96,0.3,0.94,0
8,1.21,0.75,0.46,0.46,11,6.6,0.39,0.36,0.95,1
13,7.91,0.6,0.18,0.97,15,8.2,0.88,0.81,0.47,0
17,0.25,0.09,0.85,0.62,21,5.67,0.17,0.7,0.04,0
14,2.7,0.27,0.77,0.17,17,2.72,0.43,0.34,0.2,0
14,1.7,0.87,0.77,0.37,15,2.29,0.84,0.14,0.56,1
5,5.18,0.73,0.27,0.65,7,9.79,0.0,0.34,0.5,1
15,1.79,0.39,0.28,0.32,18,5.92,0.02,0.8,0.58,0
8,0.55,0.49,0.65,0.41,12,0.98,0.22,0.51,0.91,0
1,7.29,0.08,0.75,0.84,5,9.63,0.35,0.42,0.9,0
12,4.07,0.92,0.9,0.78,14,3.71,0.3,0.69,0.52,0
18,9.39,0.15,0.48,0.7,19,5.79,0.11,0.78,0.31,1
17,0.25,0.98,0.36,0.75,21,4.31,0.34,0.04,0.71,0
18,2.15,0.4,0.64,0.67,20,0.27,0.4,0.7,0.89,1
5,4.24,0.89,0.48,0.57,7,2.85,0.08,0.02,0.51,0
10,5.05,0.33,0.6,0.83,12,3.9,0.75,0.57,0.2,0
16,9.87,0.02,0.84,0.8,20,6.39,0.85,0.84,0.64,1
3,0.63,0.65,0.56,0.76,7,7.66,0.55,0.4,0.72,0
5,7.64,0.4,0.16,0.93,6,6.78,0.88,0.47,0.94,1
16,6.75,0.57,0.54,0.16,17,1.24,0.15,0.7,0.97,0
7,0.95,0.74,0.92,0.53,11,8.23,0.31,0.26,0.41,0
22,9.73,0.09,0.77,0.96,0,3.06,0.99,0.6,0.02,0
19,4.52,0.99,0.6,0.06,23,3.43,0.54,0.19,0.37,0
8,5.64,0.51,0.78,0.66,10,2.49,0.05,0.15,0.87,0
14,4.17,0.5,0.93,0.39,15,3.8,0.64,0.66,0.68,1
18,1.07,0.65,0.25,0.77,19,9.21,0.66,0.9,0.65,0
14,1.19,0.05,0.6,0.16,15,6.33,0.04,0.88,0.2,0
16,4.57,0.4,0.53,0.6,17,4.18,0.17,0.87,0.3,0
0,4.6,0.52,0.66,0.97,1,9.52,0.18,0.65,0.63,0
0,9.37,0.69,0.72,0.88,4,3.88,0.11,0.8,0.41,0
16,8.41,0.24,0.12,0.06,18,7.59,0.18,0.92,0.19,1
8,3.29,0.59,0.63,0.18,10,2.57,1.0,0.68,0.88,1
0,8.11,0.93,0.14,0.16,3,8.78,0.21,0.6,0.59,0
7,3.67,0.01,0.55,0.27,11,4.54,0.82,0.93,0.06,1
14,1.36,0.75,0.24,0.32,15,8.45,0.89,0.31,0.35,0
8,7.01,0.82,0.79,0.78,9,2.82,0.02,0.24,0.4,0
16,1.23,0.87,0.57,1.0,18,2.53,0.37,0.94,0.4,0
4,4.31,0.38,0.81,0.6,6,6.27,0.53,0.28,0.07,0
15,1.39,0.05,0.26,0.6,17,3.9,0.17,0.41,0.62,0
2,9.49,0.57,0.41,0.19,6,3.48,0.61,0.59,0.89,0
18,2.19,0.75,0.73,0.87,20,4.03,0.51,0.71,0.45,0
13,3.05,0.25,0.53,0.05,14,9.48,0.81,0.9,0.81,0
16,9.76,0.6,0.15,0.13,18,0.15,0.0,0.07,0.3,0
14,1.51,0.62,0.75,0.07,18,7.93,0.74,0.66,0.85,1
18,2.22,0.12,0.2,0.81,19,4.98,0.15,0.64,0.54,1
17,6.46,0.83,0.38,0.16,21,7.87,0.94,0.14,0.91,0
20,0.6,0.18,0.34,0.23,22,5.72,0.48,0.43,0.61,0
8,1.29,0.94,0.94,0.83,12,5.47,0.97,0.82,0.65,1
4,0.9,0.66,0.25,0.94,5,4.51,0.41,0.1,0.53,0
4,8.5,0.01,0.25,0.94,7,4.93,0.12,0.16,0.23,0
21,8.51,0.1,0.05,0.49,0,2.0,0.17,0.5,0.97,0
18,9.66,0.15,0.33,0.62,20,8.37,0.6,0.07,0.2,0
1,3.02,0.18,0.29,1.0,3,2.79,0.45,0.55,0.0,0
14,8.67,0.77,0.32,0.07,18,9.69,0.01,0.84,0.41,0
2,6.32,0.98,0.69,0.85,6,9.75,0.09,0.7,0.96,0
11,2.72,0.38,0.97,0.04,12,8.15,0.56,0.35,0.0,0
